title,link
临高启明 第一节 虫洞降临,https://lingaoqiming.github.io/1/1-00100.html
临高启明 第六节 克拉克瓷（一）,https://lingaoqiming.github.io/1/1-00600.html
临高启明 第十一节 奴仆（一）,https://lingaoqiming.github.io/1/1-01100.html
临高启明 第十六节 会议——机械与化工,https://lingaoqiming.github.io/1/1-01600.html
临高启明 第二十一节 武器问题,https://lingaoqiming.github.io/1/1-02100.html
临高启明 第二十六节 羊城暗哨,https://lingaoqiming.github.io/1/1-02600.html
临高启明 第三十一节 起威镖局,https://lingaoqiming.github.io/1/1-03100.html
临高启明 第三十六节 先知,https://lingaoqiming.github.io/1/1-03600.html
临高启明 第四十一节 船只（一）,https://lingaoqiming.github.io/1/1-04100.html
临高启明 第四十六节 最后的插曲,https://lingaoqiming.github.io/1/1-04600.html
临高启明 第四节 港口建设（一）,https://lingaoqiming.github.io/2/2-00400.html
临高启明 第九节 营地,https://lingaoqiming.github.io/2/2-00900.html
临高启明 第十四节 侦察队,https://lingaoqiming.github.io/2/2-01400.html
临高启明 第十九节 锻炼锻炼,https://lingaoqiming.github.io/2/2-01900.html
临高启明 第二十四节 邬德的新任务（二）,https://lingaoqiming.github.io/2/2-02400.html
临高启明 第二十九节 水与电（二）,https://lingaoqiming.github.io/2/2-02900.html
临高启明 第三十四节 战后（一）,https://lingaoqiming.github.io/2/2-03400.html
临高启明 第三十九节 水泥,https://lingaoqiming.github.io/2/2-03900.html
临高启明 第四十四节 新农庄（一）,https://lingaoqiming.github.io/2/2-04400.html
临高启明 第四十九节 信用（一）,https://lingaoqiming.github.io/2/2-04900.html
临高启明 第五十四节 贸易协定,https://lingaoqiming.github.io/2/2-05400.html
临高启明 第五十九节 发动群众（二）,https://lingaoqiming.github.io/2/2-05900.html
临高启明 第六十四节 苟家庄（一）,https://lingaoqiming.github.io/2/2-06400.html
临高启明 第六十九节 土飞机,https://lingaoqiming.github.io/2/2-06900.html
临高启明 第七十四节 东门市,https://lingaoqiming.github.io/2/2-07400.html
临高启明 第七十九节 广州行（一）,https://lingaoqiming.github.io/2/2-07900.html
临高启明 第八十四节 人市（二）,https://lingaoqiming.github.io/2/2-08400.html
临高启明 第八十九节 检疫所（二）,https://lingaoqiming.github.io/2/2-08900.html
临高启明 第九十四节 东门市派出所（一）,https://lingaoqiming.github.io/2/2-09400.html
临高启明 第九十九节 大明海盗船,https://lingaoqiming.github.io/2/2-09900.html
临高启明 第一百零四节 铸炮（三）,https://lingaoqiming.github.io/2/2-10400.html
临高启明 第一百零九节 招兵买马,https://lingaoqiming.github.io/2/2-10900.html
临高启明 第一百一十四节 训练,https://lingaoqiming.github.io/2/2-11400.html
临高启明 第一百一十九节 排枪和神枪手,https://lingaoqiming.github.io/2/2-11900.html
临高启明 第一百二十四节 武装游行,https://lingaoqiming.github.io/2/2-12400.html
临高启明 第一百二十九节 诸彩老袭来,https://lingaoqiming.github.io/2/2-12900.html
临高启明 第一百三十四节 刘香的算盘,https://lingaoqiming.github.io/2/2-13400.html
临高启明 第一百三十九节 迪亚娜·门多萨,https://lingaoqiming.github.io/2/2-13900.html
临高启明 第一百四十四节 除夕电影,https://lingaoqiming.github.io/2/2-14400.html
临高启明 第一百四十九节 玻璃,https://lingaoqiming.github.io/2/2-14900.html
临高启明 第一百五十四节 东方亮，西方也亮,https://lingaoqiming.github.io/2/2-15400.html
临高启明 第一百五十九节 传教问题,https://lingaoqiming.github.io/2/2-15900.html
临高启明 第一百六十四节 舆论准备,https://lingaoqiming.github.io/2/2-16400.html
临高启明 第一百六十九节 教会,https://lingaoqiming.github.io/2/2-16900.html
临高启明 第一百七十四节 大会（一）,https://lingaoqiming.github.io/2/2-17400.html
临高启明 第一百七十九节 保安团,https://lingaoqiming.github.io/2/2-17900.html
临高启明 第一节 五年计划（一）,https://lingaoqiming.github.io/3/3-00100.html
临高启明 第六节 贸易的讨论（二）,https://lingaoqiming.github.io/3/3-00600.html
临高启明 第十一节 简易轨道交通,https://lingaoqiming.github.io/3/3-01100.html
临高启明 第十六节 请客吃饭,https://lingaoqiming.github.io/3/3-01600.html
临高启明 第二十一节 中西古今合璧的双桅帆船（二）,https://lingaoqiming.github.io/3/3-02100.html
临高启明 第二十六节 探险队出发,https://lingaoqiming.github.io/3/3-02600.html
临高启明 第三十一节 黎寨,https://lingaoqiming.github.io/3/3-03100.html
临高启明 第三十六节 恋情的意外结尾,https://lingaoqiming.github.io/3/3-03600.html
临高启明 第四十一节 王涛的理想,https://lingaoqiming.github.io/3/3-04100.html
临高启明 第四十六节 雷州糖业公司,https://lingaoqiming.github.io/3/3-04600.html
临高启明 第五十一节 临高来客,https://lingaoqiming.github.io/3/3-05100.html
临高启明 第五十六节 阴谋,https://lingaoqiming.github.io/3/3-05600.html
临高启明 第六十一节 甜港风云——升级,https://lingaoqiming.github.io/3/3-06100.html
临高启明 第六十六节 甜港风云——阴招,https://lingaoqiming.github.io/3/3-06600.html
临高启明 第七十一节 甜港风云——黑云压顶,https://lingaoqiming.github.io/3/3-07100.html
临高启明 第七十六节 甜港风云——收买,https://lingaoqiming.github.io/3/3-07600.html
临高启明 第八十一节 甜港风云——菊花屿海战（一）,https://lingaoqiming.github.io/3/3-08100.html
临高启明 第八十六节 甜港风云——垂死挣扎,https://lingaoqiming.github.io/3/3-08600.html
临高启明 第九十一节 收购大昌,https://lingaoqiming.github.io/3/3-09100.html
临高启明 第九十六节 尼克的事业（一）,https://lingaoqiming.github.io/3/3-09600.html
临高启明 第一百零一节 占领十三村,https://lingaoqiming.github.io/3/3-10100.html
临高启明 第一百零六节 教堂的另外一个作用,https://lingaoqiming.github.io/3/3-10600.html
临高启明 第一百一十一节 土匪的反击,https://lingaoqiming.github.io/3/3-11100.html
临高启明 第一百一十六节 学生们,https://lingaoqiming.github.io/3/3-11600.html
临高启明 第一百二十一节 检疫营,https://lingaoqiming.github.io/3/3-12100.html
临高启明 第一百二十六节 酸和碱（二）,https://lingaoqiming.github.io/3/3-12600.html
临高启明 第一百三十一节 能源使用,https://lingaoqiming.github.io/3/3-13100.html
临高启明 第一百三十六节 佛山之行（二）,https://lingaoqiming.github.io/3/3-13600.html
临高启明 第一百四十一节 佛山之行（七）,https://lingaoqiming.github.io/3/3-14100.html
临高启明 第一百四十六节 佛山之行（十二）,https://lingaoqiming.github.io/3/3-14600.html
临高启明 第一百五十一节 佛山之行（十七）,https://lingaoqiming.github.io/3/3-15100.html
临高启明 第一百五十六节 联合诊疗所,https://lingaoqiming.github.io/3/3-15600.html
临高启明 第一百六十一节 农田建设,https://lingaoqiming.github.io/3/3-16100.html
临高启明 第一百六十六节 符不二入会,https://lingaoqiming.github.io/3/3-16600.html
临高启明 第一百七十一节 猪与牛,https://lingaoqiming.github.io/3/3-17100.html
临高启明 第一百七十六节 依法治国,https://lingaoqiming.github.io/3/3-17600.html
临高启明 第一百八十一节 船上的人,https://lingaoqiming.github.io/3/3-18100.html
临高启明 第一百八十六节 利益问题,https://lingaoqiming.github.io/3/3-18600.html
临高启明 第一百九十一节 勋素济当官,https://lingaoqiming.github.io/3/3-19100.html
临高启明 第一百九十六节 制冰机,https://lingaoqiming.github.io/3/3-19600.html
临高启明 第二百零一节 当船开始漏水的时候,https://lingaoqiming.github.io/3/3-20100.html
临高启明 第二百零六节 消化,https://lingaoqiming.github.io/3/3-20600.html
临高启明 第二百一十一节 王赐,https://lingaoqiming.github.io/3/3-21100.html
临高启明 第二百一十六节 茉莉轩书院（一）,https://lingaoqiming.github.io/3/3-21600.html
临高启明 第二百二十一节 小十字路计划（二）,https://lingaoqiming.github.io/3/3-22100.html
临高启明 第二百二十六节 账本,https://lingaoqiming.github.io/3/3-22600.html
临高启明 第二百三十一节 陈明刚的家务,https://lingaoqiming.github.io/3/3-23100.html
临高启明 第二百三十六节 秋赋（一）,https://lingaoqiming.github.io/3/3-23600.html
